Timestamp,Editor ou IDE que você usa para programar em Python a maior parte do tempo,Sistema operacional do computador que você usa ao programar aplicações Python,Outros editores ou IDE que você usou por 12 horas ou mais em 2012 (opcional)
1/2/2013 23:32:00,Aptana,GNU/Linux,vim
1/2/2013 23:34:02,PyCharm,GNU/Linux,"Gedit, PyCharm, Sublime Text"
1/2/2013 23:34:32,Sublime Text,Mac OSX,"Gedit, TextMate"
1/2/2013 23:36:17,Aptana,GNU/Linux,"Gedit, Sublime Text, vim"
1/2/2013 23:40:08,vim,Mac OSX,
1/2/2013 23:44:32,BBEdit,Mac OSX,Eclipse + PyDev
1/2/2013 23:44:55,vim,GNU/Linux,"PyCharm, Sublime Text"
1/2/2013 23:46:55,Sublime Text,GNU/Linux,"Aptana, Eclipse + PyDev, Geany, Gedit, NotePad++ (software livre para Windows), Spyder"
1/2/2013 23:49:34,Emacs e derivados,GNU/Linux,
1/2/2013 23:49:57,Eclipse + PyDev,GNU/Linux,vim
1/2/2013 23:50:09,Sublime Text,Mac OSX,Sublime Text
1/2/2013 23:52:40,vim,GNU/Linux,vim
1/2/2013 23:54:00,Sublime Text,Mac OSX,"Eclipse + PyDev, JEdit"
1/2/2013 23:57:52,Geany,GNU/Linux,Sublime Text
1/2/2013 23:57:58,Sublime Text,GNU/Linux,"TextMate, vim"
1/3/2013 0:00:04,Sublime Text,Windows,NotePad++ (software livre para Windows)
1/3/2013 0:00:24,Sublime Text,Mac OSX,PyCharm
1/3/2013 0:01:59,Sublime Text,Mac OSX,PyCharm
1/3/2013 0:02:23,PyCharm,Windows,"Aptana, Emacs e derivados, Visual Studio"
1/3/2013 0:03:30,vim,GNU/Linux,"Gedit, IDLE"
1/3/2013 0:06:37,vim,GNU/Linux,Gedit
1/3/2013 0:07:09,vim,GNU/Linux,"Geany, Gedit, Sublime Text, vim, WingIDE"
1/3/2013 0:11:27,PyCharm,GNU/Linux,"Gedit, vim"
1/3/2013 0:16:10,vim,GNU/Linux,"Aptana, Eclipse + PyDev, Gedit, Kate e derivados, Kdevelop, Komodo Edit (gratuito), Sublime Text, TextMate, WingIDE"
1/3/2013 0:17:57,vim,Mac OSX,
1/3/2013 0:36:06,Sublime Text,Mac OSX,vim
1/3/2013 0:40:33,Sublime Text,Windows,"NotePad++ (software livre para Windows), PyCharm"
1/3/2013 0:44:23,Sublime Text,GNU/Linux,vim
1/3/2013 0:49:04,TextMate,Mac OSX,"Gedit, NotePad++ (software livre para Windows), vim"
1/3/2013 1:02:18,Gedit,GNU/Linux,vim
1/3/2013 1:29:36,Sublime Text,GNU/Linux,vim
1/3/2013 1:31:23,TextMate,Mac OSX,"Emacs e derivados, Sublime Text"
1/3/2013 1:39:10,vim,GNU/Linux,Sublime Text
1/3/2013 2:00:19,Kate e derivados,GNU/Linux,"IDLE, NotePad++ (software livre para Windows)"
1/3/2013 2:14:26,vim,GNU/Linux,
1/3/2013 2:23:15,Sublime Text,Mac OSX,vim
1/3/2013 2:38:35,Sublime Text,Mac OSX,"Eclipse + PyDev, TextMate, vim"
1/3/2013 2:48:01,PyCharm,Mac OSX,vim
1/3/2013 3:12:56,TextMate,Mac OSX,Sublime Text
1/3/2013 3:15:41,Visual Studio,Windows,Sublime Text
1/3/2013 3:33:40,PyCharm,Mac OSX,"IDLE, Sublime Text, TextMate, vim"
1/3/2013 4:15:18,Sublime Text,GNU/Linux,vim
1/3/2013 4:15:19,Sublime Text,GNU/Linux,vim
1/3/2013 5:39:51,PyCharm,Mac OSX,TextMate
1/3/2013 6:34:59,PyCharm,GNU/Linux,vim
1/3/2013 6:45:02,Sublime Text,GNU/Linux,WingIDE
1/3/2013 6:51:58,WingIDE,Windows,
1/3/2013 7:22:51,Sublime Text,GNU/Linux,Eclipse + PyDev
1/3/2013 7:44:41,Sublime Text,GNU/Linux,
1/3/2013 7:53:16,Sublime Text,Windows,
1/3/2013 7:58:00,Aptana,GNU/Linux,Eclipse + PyDev
1/3/2013 8:06:51,Sublime Text,Mac OSX,TextMate
1/3/2013 8:10:13,Emacs e derivados,GNU/Linux,Sublime Text
1/3/2013 8:19:12,IDLE,GNU/Linux,"IDLE, Sublime Text"
1/3/2013 8:19:55,Sublime Text,Windows,vim
1/3/2013 8:20:14,vim,GNU/Linux,"Aptana, Eclipse + PyDev"
1/3/2013 8:22:21,Komodo Edit (gratuito),Windows,NotePad (acessório incluído no Windows)
1/3/2013 8:35:40,Aptana,GNU/Linux,"Gedit, vim"
1/3/2013 8:44:25,Eclipse + PyDev,GNU/Linux,
1/3/2013 8:51:48,Sublime Text,Mac OSX,PyCharm
1/3/2013 8:56:42,PyCharm,Mac OSX,"Aptana, Sublime Text, TextMate"
1/3/2013 8:57:04,vim,GNU/Linux,TextMate
1/3/2013 8:58:56,PyCharm,GNU/Linux,vim
1/3/2013 9:01:18,Netbeans,GNU/Linux,Netbeans
1/3/2013 9:04:28,joe,GNU/Linux,
1/3/2013 9:05:57,PyCharm,Windows,PyCharm
1/3/2013 9:06:18,Sublime Text,GNU/Linux,"Eclipse + PyDev, Kate e derivados"
1/3/2013 9:09:43,Komodo Edit (gratuito),GNU/Linux,Gedit
1/3/2013 9:14:28,Komodo IDE (pago),Mac OSX,"PyCharm, vim"
1/3/2013 9:21:08,Emacs e derivados,Mac OSX,
1/3/2013 9:33:03,Sublime Text,GNU/Linux,Emacs e derivados
1/3/2013 9:33:48,Sublime Text,Mac OSX,"Komodo Edit (gratuito), TextMate, vim"
1/3/2013 9:34:43,Sublime Text,GNU/Linux,Eclipse + PyDev
1/3/2013 9:37:04,Sublime Text,Windows,
1/3/2013 9:40:52,Sublime Text,Mac OSX,vim
1/3/2013 9:45:59,vim,Mac OSX,"Eclipse + PyDev, vim, Visual Studio"
1/3/2013 10:17:02,vim,GNU/Linux,PyCharm
1/3/2013 10:26:47,Gedit,GNU/Linux,Kate e derivados
1/3/2013 10:27:15,Eclipse + PyDev,Mac OSX,"Aptana, IDLE, NotePad++ (software livre para Windows), TextMate, vim"
1/3/2013 10:53:23,PyCharm,Mac OSX,Sublime Text
1/3/2013 11:02:31,Komodo Edit (gratuito),Windows,"NotePad++ (software livre para Windows), PyCharm"
1/3/2013 11:05:11,Sublime Text,Windows,"Eclipse + PyDev, Netbeans, NotePad++ (software livre para Windows)"
1/3/2013 11:13:16,Geany,GNU/Linux,Sublime Text
1/3/2013 11:23:22,Eclipse + PyDev,GNU/Linux,"Komodo Edit (gratuito), NotePad++ (software livre para Windows), Sublime Text"
1/3/2013 11:25:05,Eclipse + PyDev,GNU/Linux,vim
1/3/2013 11:37:33,Eclipse + PyDev,GNU/Linux,"Kate e derivados, Sublime Text"
1/3/2013 11:48:52,PyCharm,GNU/Linux,PyCharm
1/3/2013 11:56:12,Sublime Text,Windows,"IDLE, Sublime Text"
1/3/2013 12:20:58,Gedit,GNU/Linux,Komodo Edit (gratuito)
1/3/2013 12:37:42,NotePad++ (software livre para Windows),Windows,Gedit
1/3/2013 12:43:10,Spyder,GNU/Linux,
1/3/2013 13:01:17,NotePad++ (software livre para Windows),Windows,vim
1/3/2013 13:14:44,PyCharm,GNU/Linux,Sublime Text
1/3/2013 13:22:10,Sublime Text,GNU/Linux,Eclipse + PyDev
1/3/2013 14:03:37,Sublime Text,GNU/Linux,vim
1/3/2013 14:20:29,WingIDE,Windows,"Eclipse + PyDev, IDLE, NotePad++ (software livre para Windows)"
1/3/2013 14:24:34,NotePad++ (software livre para Windows),Windows,Aptana
1/3/2013 14:25:41,NinjaIDE,Windows,"IDLE, NotePad++ (software livre para Windows), vim"
1/3/2013 14:29:13,PyCharm,GNU/Linux,Geany
1/3/2013 14:31:31,Sublime Text,GNU/Linux,"Netbeans, vim"
1/3/2013 14:32:59,vim,Mac OSX,"Aptana, Gedit, Netbeans, Sublime Text, vim"
1/3/2013 14:34:43,Gedit,GNU/Linux,"Geany, NotePad++ (software livre para Windows)"
1/3/2013 14:36:48,PyCharm,GNU/Linux,Sublime Text
1/3/2013 14:39:06,PyCharm,Windows,WingIDE
1/3/2013 14:42:57,PyCharm,Windows,Eclipse + PyDev
1/3/2013 14:46:13,PyScripter,Windows,"Aptana, IDLE"
1/3/2013 14:48:14,Sublime Text,Mac OSX,vim
1/3/2013 14:48:48,PyCharm,Windows,"Emacs e derivados, NotePad++ (software livre para Windows), Visual Studio"
1/3/2013 14:50:31,PyCharm,GNU/Linux,Sublime Text
1/3/2013 14:50:34,Sublime Text,Mac OSX,vim
1/3/2013 14:53:26,Geany,GNU/Linux,Komodo Edit (gratuito)
1/3/2013 14:55:27,PyCharm,GNU/Linux,"Kate e derivados, vim"
1/3/2013 15:16:18,Geany,GNU/Linux,"Emacs e derivados, Gedit, Kdevelop, Netbeans"
1/3/2013 15:26:20,PyCharm,Mac OSX,"NotePad++ (software livre para Windows), Sublime Text, TextMate, vim"
1/3/2013 15:31:20,vim,GNU/Linux,
1/3/2013 15:43:16,Netbeans,Mac OSX,IDLE
1/3/2013 15:49:48,WingIDE,GNU/Linux,"Eclipse + PyDev, Gedit, Komodo Edit (gratuito), Netbeans, Sublime Text"
1/3/2013 16:14:45,Smultron,GNU/Linux,"Gedit, Sublime Text"
1/3/2013 16:19:49,Sublime Text,GNU/Linux,vim
1/3/2013 17:13:28,Sublime Text,GNU/Linux,"Geany, Gedit"
1/3/2013 17:20:46,vim,GNU/Linux,Gedit
1/3/2013 17:52:02,Emacs e derivados,Mac OSX,vim
1/3/2013 19:48:35,Geany,GNU/Linux,WingIDE
1/3/2013 23:39:44,Emacs e derivados,GNU/Linux,"Eclipse + PyDev, Gedit, JEdit, Kate e derivados, Netbeans, vim, Visual Studio"
1/4/2013 1:31:21,NotePad++ (software livre para Windows),Windows,"vim, Visual Studio"
1/4/2013 8:22:41,Eclipse + PyDev,Mac OSX,"Eclipse + PyDev, NotePad++ (software livre para Windows), Sublime Text"
